# SPECULATIVE QUANTUM-GRAVITY TOY MODELS — NOT ESTABLISHED PHYSICS
# SPECULATIVE MODEL — NOT experimentally established.
# model: Hayward (2006) regular black hole
r_geo,log10_r_over_rs,f,log10_K_SI,log10_K_schwarzschild_SI,tau_since_horizon_years,u_r
1.9999999999999898,-2.217953173072566e-15,-5.10702591327572e-15,-84.80207218053917,-84.80207218053917,np.float64(0.0),-1.0000000000000024
1.9801007476123933,-0.004342707918105447,-0.010049616117564497,-84.77601593303055,-84.77601593303055,np.float64(3098.218451161513),-1.0050122467500406
1.9488364610009332,-0.011254599370794791,-0.02625337734741917,-84.73454458431442,-84.73454458431442,np.float64(7934.522729568388),-1.013041646403256
1.9102469135649545,-0.01994048900885811,-0.046985070776816906,-84.68242924648604,-84.68242924648601,np.float64(13850.665580858718),-1.0232228842128273
1.8724214903647,-0.028626378646921375,-0.06813557219451205,-84.63031390865766,-84.63031390865766,np.float64(19591.959986728394),-1.0335064451635085
1.8353450607265438,-0.03731226828498469,-0.08971334208308246,-84.57819857082927,-84.5781985708293,np.float64(25163.573499691684),-1.0438933576199643
1.7990027935842716,-0.045998157923048004,-0.111727011838191,-84.52608323300089,-84.52608323300089,np.float64(30570.520948005455),-1.054384660282096
1.7633801515464567,-0.054684047561111296,-0.13418538722125883,-84.47396789517254,-84.47396789517254,np.float64(35817.668949353094),-1.0649814022889126
1.7284628850813086,-0.06336993719917465,-0.15709745188188862,-84.42185255734415,-84.42185255734412,np.float64(40909.74029112892),-1.0756846433234457
1.694237026816672,-0.07205582683723799,-0.18047237095144264,-84.36973721951577,-84.36973721951577,np.float64(45851.318181265655),-1.086495453718718
1.6606888859528903,-0.08074171647530123,-0.20431949470921862,-84.31762188168739,-84.31762188168742,np.float64(50646.85037343094),-1.0974149145647778
1.627805042786303,-0.08942760611336459,-0.2286483623226856,-84.265506543859,-84.265506543859,np.float64(55300.65317030586),-1.1084441178168098
1.5955723433411866,-0.09811349575142787,-0.2534687056632776,-84.21339120603062,-84.21339120603065,np.float64(59816.9153085487),-1.1195841664043296
1.5639778941079878,-0.10679938538949123,-0.278790453199274,-84.16127586820224,-84.16127586820224,np.float64(64199.70172894072),-1.1308361743414799
1.533009056885749,-0.11548527502755446,-0.30462373396731635,-84.10916053037386,-84.10916053037383,np.float64(68452.95723510726),-1.142201266838431
1.5026534437266572,-0.12417116466561781,-0.3309788816241608,-84.05704519254547,-84.05704519254547,np.float64(72580.51004410718),-1.1536805804139032
1.4728989119807023,-0.1328570543036811,-0.3578664385802761,-84.00492985471709,-84.00492985471706,np.float64(76586.07523208678),-1.1652752630088206
1.4437335594384535,-0.14154294394174444,-0.3852971602169506,-83.95281451688874,-83.95281451688871,np.float64(80473.258078099),-1.1769864741011047
1.4151457195700174,-0.1502288335798077,-0.41328201918858687,-83.90069917906035,-83.90069917906035,np.float64(84245.55730909796),-1.1888153848216243
1.3871239568582703,-0.15891472321787098,-0.4418322098119096,-83.84858384123197,-83.84858384123194,np.float64(87906.3682490294),-1.2007631780713088
1.3596570622244988,-0.1676006128559343,-0.470959152543843,-83.79646850340359,-83.79646850340359,np.float64(91458.98587485138),-1.2128310486394398
1.3327340485446193,-0.17628650249399766,-0.5006744985498437,-83.7443531655752,-83.74435316557518,np.float64(94906.60778223608),-1.2250202033231303
1.306344146254182,-0.1849723921320609,-0.5309901343645245,-83.69223782774682,-83.69223782774682,np.float64(98252.33706362155),-1.237331861048007
1.2804767990404,-0.19365828177012429,-0.5619181866464247,-83.64012248991844,-83.64012248991847,np.float64(101499.18510120457),-1.2497672529901016
1.2551216596194859,-0.20234417140818758,-0.5934710270288364,-83.58800715209006,-83.58800715209006,np.float64(104650.07427738777),-1.2623276226989713
1.2302685855975979,-0.21103006104625088,-0.6256612770686234,-83.53589181426167,-83.5358918142617,np.float64(107707.84060512109),-1.275014226222054
1.2059076354137486,-0.21971595068431418,-0.65850181329501,-83.48377647643329,-83.48377647643329,np.float64(110675.23628050495),-1.2878283322302744
1.1820290643630473,-0.22840184032237754,-0.6920057723603668,-83.43166113860494,-83.43166113860494,np.float64(113554.93215995238),-1.3007712221449115
1.158623320698689,-0.23708772996044084,-0.7261865562950456,-83.37954580077655,-83.37954580077653,np.float64(116349.5201641402),-1.313844190265743
1.1356810418111267,-0.2457736195985041,-0.7610578378683697,-83.32743046294817,-83.32743046294812,np.float64(119061.51561091254),-1.3270485439004744
1.1131930504829044,-0.25445950923656746,-0.7966335660579245,-83.27531512511979,-83.27531512511976,np.float64(121693.35947923665),-1.3403856034954733
1.0911503512176473,-0.26314539887463073,-0.8329279716293365,-83.2231997872914,-83.2231997872914,np.float64(124247.42060624882),-1.353856702767814
